,accuracy,auc,f1,precision,recall,type
ML_GradientBoosting,0.5604395604395604,0.5923226433430515,0.5121951219512195,0.525,0.5,ML
ML_StackingClassifier,0.5494505494505495,0.5840621963070942,0.4675324675324675,0.5142857142857142,0.42857142857142855,ML
ML_XGBoost,0.5494505494505495,0.5826044703595725,0.5176470588235295,0.5116279069767442,0.5238095238095238,ML
ML_VotingEnsemble,0.5054945054945055,0.5704567541302236,0.4444444444444444,0.46153846153846156,0.42857142857142855,ML
DL_BiLSTM_Attention,0.46153846153846156,0.5621963070942663,0.631578947368421,0.46153846153846156,1.0,DL
ML_LightGBM,0.4945054945054945,0.5583090379008746,0.43902439024390244,0.45,0.42857142857142855,ML
DL_DL_Ensemble_Top3,0.5494505494505495,0.554421768707483,0.6495726495726496,0.5066666666666667,0.9047619047619048,DL
DL_MultiScale_CNN,0.46153846153846156,0.553449951409135,0.631578947368421,0.46153846153846156,1.0,DL
DL_TemporalAttention,0.46153846153846156,0.5476190476190477,0.631578947368421,0.46153846153846156,1.0,DL
ML_RandomForest,0.4945054945054945,0.5369290573372206,0.3783783783783784,0.4375,0.3333333333333333,ML
DL_Optuna_Improved,0.4725274725274725,0.532069970845481,0.625,0.46511627906976744,0.9523809523809523,DL
DL_CNN_1D,0.4725274725274725,0.5272108843537415,0.6307692307692307,0.4659090909090909,0.9761904761904762,DL
DL_DL_Ensemble_Weighted,0.5384615384615384,0.5272108843537415,0.5434782608695652,0.5,0.5952380952380952,DL
DL_CNN_BiLSTM,0.5054945054945055,0.5238095238095238,0.6511627906976745,0.4827586206896552,1.0,DL
DL_DL_Ensemble_Avg,0.5384615384615384,0.521379980563654,0.5531914893617021,0.5,0.6190476190476191,DL
DL_PhysNet_MLP,0.4725274725274725,0.5082604470359573,0.6363636363636364,0.4666666666666667,1.0,DL
ML_ExtraTrees,0.4945054945054945,0.48833819241982507,0.41025641025641024,0.4444444444444444,0.38095238095238093,ML
DL_Transformer,0.4945054945054945,0.46161321671525746,0.6461538461538462,0.4772727272727273,1.0,DL
DL_WideDeep,0.4725274725274725,0.40864917395529643,0.6363636363636364,0.4666666666666667,1.0,DL
